Period Ending,Country,CLDR Territory Code,Product,Reason,Court Orders,"Executive, Police, etc.",Items Requested To Be Removed
12/31/10,United Kingdom,GB,YouTube,Privacy and Security,0,2,9
12/31/10,United Kingdom,GB,Google Images,Defamation,2,0,41
12/31/10,United Kingdom,GB,Google Images,Privacy and Security,2,0,13
12/31/10,United Kingdom,GB,Street View,Privacy and Security,0,2,2
12/31/10,United Kingdom,GB,YouTube,Other,1,13,30
12/31/10,United Kingdom,GB,Google AdWords,Other,0,2,93360
12/31/10,United Kingdom,GB,YouTube,Hate Speech,0,1,1
12/31/10,United Kingdom,GB,Blogger,Copyright,1,0,2
12/31/10,United Kingdom,GB,Web Search,Defamation,5,0,17
12/31/10,United Kingdom,GB,Google Videos,Privacy and Security,2,0,20
12/31/10,United Kingdom,GB,Blogger,Defamation,1,0,3
12/31/10,Belgium,BE,YouTube,Privacy and Security,0,1,1
12/31/10,United States,US,YouTube,Other,1,10,36
12/31/10,United States,US,YouTube,National Security,0,1,1
12/31/10,United States,US,Gmail,Other,1,0,1
12/31/10,United States,US,YouTube,Defamation,3,0,152
12/31/10,United States,US,Blogger,Other,2,0,3
12/31/10,United States,US,Google Groups,Defamation,6,0,1110
12/31/10,United States,US,YouTube,Privacy and Security,0,3,3
12/31/10,United States,US,Web Search,Defamation,17,0,77
12/31/10,United States,US,Blogger,Defamation,8,0,36
12/31/10,United States,US,Google Videos,Other,1,0,1
12/31/10,United States,US,YouTube,Violence,0,1,1
12/31/10,Switzerland,CH,Web Search,Defamation,3,0,13
12/31/10,Switzerland,CH,Blogger,Defamation,1,0,5
12/31/10,Libya,LY,YouTube,Other,0,60,189
12/31/10,Libya,LY,YouTube,Privacy and Security,0,8,14
12/31/10,France,FR,Google Docs,Defamation,1,0,5
12/31/10,France,FR,Gmail,Impersonation,1,0,1
12/31/10,France,FR,YouTube,Hate Speech,0,3,4
12/31/10,France,FR,YouTube,Privacy and Security,0,1,2
12/31/10,France,FR,Web Search,Defamation,10,0,87
12/31/10,France,FR,Blogger,Defamation,5,0,15
12/31/10,France,FR,YouTube,Adult Content,0,2,2
12/31/10,Panama,PA,Web Search,Defamation,1,0,1
12/31/10,Mexico,MX,YouTube,Other,0,1,5
12/31/10,Mexico,MX,Blogger,Other,1,0,2
12/31/10,India,IN,Web Search,National Security,0,1,16
12/31/10,India,IN,YouTube,Government Criticism,0,3,10
12/31/10,India,IN,Web Search,Adult Content,1,1,4
12/31/10,India,IN,YouTube,Defamation,1,10,100
12/31/10,India,IN,Blogger,Other,1,1,2
12/31/10,India,IN,Blogger,Adult Content,1,3,9
12/31/10,India,IN,YouTube,Privacy and Security,0,2,53
12/31/10,India,IN,YouTube,Adult Content,0,5,6
12/31/10,India,IN,Google Images,Defamation,0,1,1
12/31/10,India,IN,Blogger,Privacy and Security,1,0,1
12/31/10,India,IN,Web Search,Other,0,1,13
12/31/10,India,IN,YouTube,Other,0,9,19
12/31/10,India,IN,YouTube,Hate Speech,0,5,11
12/31/10,India,IN,Web Search,Impersonation,0,1,2
12/31/10,India,IN,Web Search,Defamation,0,5,15
12/31/10,India,IN,Google Profiles,Adult Content,0,2,2
12/31/10,India,IN,Blogger,Defamation,1,10,17
12/31/10,India,IN,Blogger,Government Criticism,0,1,1
12/31/10,New Zealand,NZ,YouTube,Other,2,0,2
12/31/10,New Zealand,NZ,YouTube,Hate Speech,0,1,1
12/31/10,Thailand,TH,YouTube,Government Criticism,0,1,43
12/31/10,Germany,DE,YouTube,Government Criticism,0,1,1
12/31/10,Germany,DE,YouTube,Defamation,3,4,26
12/31/10,Germany,DE,YouTube,Privacy and Security,2,12,54
12/31/10,Germany,DE,YouTube,Adult Content,0,1,1
12/31/10,Germany,DE,Google Images,Defamation,2,0,4
12/31/10,Germany,DE,YouTube,Violence,0,2,2
12/31/10,Germany,DE,Street View,Privacy and Security,0,1,1
12/31/10,Germany,DE,Web Search,Other,0,5,162
12/31/10,Germany,DE,Google Sites,Defamation,1,0,1
12/31/10,Germany,DE,YouTube,Other,1,8,179
12/31/10,Germany,DE,YouTube,Hate Speech,0,11,140
12/31/10,Germany,DE,YouTube,Copyright,0,1,6
12/31/10,Germany,DE,Web Search,Defamation,59,0,1351
12/31/10,Germany,DE,Blogger,Defamation,4,0,4
12/31/10,Malta,MT,YouTube,Other,0,1,2
12/31/10,Japan,JP,YouTube,Other,0,8,15
12/31/10,Japan,JP,YouTube,Defamation,10,0,10
12/31/10,Japan,JP,YouTube,Privacy and Security,0,7,11
12/31/10,Japan,JP,Web Search,Defamation,1,0,2
12/31/10,Russia,RU,Web Search,Other,0,1,10
12/31/10,Denmark,DK,YouTube,Other,0,1,2
12/31/10,Australia,AU,YouTube,Other,0,1,2
12/31/10,Australia,AU,YouTube,Hate Speech,0,1,2
12/31/10,Australia,AU,YouTube,Copyright,0,1,1
12/31/10,Australia,AU,YouTube,Privacy and Security,0,2,2
12/31/10,Malaysia,MY,YouTube,Hate Speech,0,1,1
12/31/10,Malaysia,MY,Web Search,Defamation,0,1,1
6/30/11,Greece,GR,YouTube,Other,1,0,2
6/30/11,Indonesia,ID,YouTube,Violence,0,1,1
6/30/11,Ireland,IE,YouTube,Defamation,0,1,1
6/30/11,Pakistan,PK,Blogger,Defamation,1,0,1
6/30/11,Norway,NO,Google AdWords,Other,0,2,1814
6/30/11,Brazil,BR,Web Search,Privacy and Security,1,0,1
6/30/11,Brazil,BR,Gmail,Impersonation,1,0,1
6/30/11,Brazil,BR,YouTube,Defamation,25,1,104
6/30/11,Brazil,BR,Google Groups,Defamation,1,0,1
6/30/11,Brazil,BR,Blogger,Other,2,0,2
6/30/11,Brazil,BR,YouTube,Privacy and Security,2,0,5
6/30/11,Brazil,BR,orkut,Adult Content,0,1,1
6/30/11,Brazil,BR,orkut,Violence,0,2,8
6/30/11,Brazil,BR,YouTube,Violence,0,2,2
6/30/11,Brazil,BR,Blogger,Privacy and Security,2,2,5
6/30/11,Brazil,BR,orkut,Impersonation,20,9,46
6/30/11,Brazil,BR,YouTube,Other,2,0,2
6/30/11,Brazil,BR,orkut,Privacy and Security,2,4,6
6/30/11,Brazil,BR,orkut,Other,9,49,206
6/30/11,Brazil,BR,Gmail,Other,1,0,2
6/30/11,Brazil,BR,YouTube,Copyright,3,0,41
6/30/11,Brazil,BR,orkut,Hate Speech,0,7,9
6/30/11,Brazil,BR,Web Search,Defamation,8,1,51
6/30/11,Brazil,BR,Blogger,Defamation,33,0,93
6/30/11,Brazil,BR,Blogger,Impersonation,1,0,1
6/30/11,Brazil,BR,orkut,Defamation,26,6,104
6/30/11,Brazil,BR,Google Sites,Privacy and Security,1,0,1
6/30/11,Canada,CA,YouTube,Other,0,1,1
6/30/11,Canada,CA,Gmail,Other,0,1,1
6/30/11,Canada,CA,YouTube,Defamation,0,2,3
6/30/11,Canada,CA,Blogger,Other,1,0,1
6/30/11,Canada,CA,YouTube,Privacy and Security,0,1,1
6/30/11,Canada,CA,Web Search,Defamation,1,1,5
6/30/11,Canada,CA,Blogger,Defamation,1,0,1
6/30/11,Turkey,TR,YouTube,Government Criticism,1,1,10
6/30/11,Turkey,TR,Web Search,Adult Content,2,1,53
6/30/11,Turkey,TR,YouTube,Defamation,0,3,16
6/30/11,Turkey,TR,YouTube,Privacy and Security,1,14,122
6/30/11,Turkey,TR,Blogger,Privacy and Security,2,0,12
6/30/11,Turkey,TR,YouTube,Other,0,1,1
6/30/11,Turkey,TR,Google AdWords,Other,0,1,1
6/30/11,Turkey,TR,Web Search,Government Criticism,0,1,6
6/30/11,Turkey,TR,"Google Earth, Google Maps, and Panoramio",Impersonation,1,0,1
6/30/11,Turkey,TR,Blogger,Copyright,1,1,2
6/30/11,Turkey,TR,Web Search,Defamation,3,3,43
6/30/11,Turkey,TR,Blogger,Defamation,1,1,2
6/30/11,Poland,PL,Web Search,Privacy and Security,0,1,70
6/30/11,Poland,PL,YouTube,Defamation,0,1,1
6/30/11,Poland,PL,Blogger,Defamation,1,0,1
6/30/11,Colombia,CO,Google AdWords,Privacy and Security,0,1,1
6/30/11,Spain,ES,Web Search,Privacy and Security,0,22,30
6/30/11,Spain,ES,Google AdWords,Other,0,1,8
6/30/11,Spain,ES,Gmail,Other,0,1,1
6/30/11,Spain,ES,Blogger,Other,0,3,3
6/30/11,Spain,ES,YouTube,Privacy and Security,1,2,4
6/30/11,Spain,ES,Blogger,Adult Content,0,1,1
6/30/11,Spain,ES,Blogger,Defamation,3,1,7
6/30/11,Spain,ES,Picasa Web Albums,Other,0,1,1
6/30/11,Spain,ES,Blogger,Privacy and Security,0,3,3
6/30/11,South Korea,KR,Web Search,Privacy and Security,0,9,13
6/30/11,South Korea,KR,Google App Engine,Privacy and Security,0,1,1
6/30/11,South Korea,KR,Blogger,Other,0,2,2
6/30/11,South Korea,KR,YouTube,Privacy and Security,0,44,52
6/30/11,South Korea,KR,Blogger,Privacy and Security,0,12,15
6/30/11,South Korea,KR,Web Search,Other,0,9,95
6/30/11,South Korea,KR,orkut,Privacy and Security,0,1,2
6/30/11,South Korea,KR,Google AdWords,Other,0,1,441
6/30/11,South Korea,KR,Web Search,Impersonation,0,1,3
6/30/11,South Korea,KR,Web Search,Defamation,0,4,18
6/30/11,South Korea,KR,Google Profiles,Privacy and Security,0,2,2
6/30/11,South Korea,KR,Google AdWords,Privacy and Security,0,2,2
6/30/11,Israel,IL,Web Search,Other,1,0,1
6/30/11,Israel,IL,Web Search,Privacy and Security,0,1,1
6/30/11,Israel,IL,Web Search,Defamation,1,0,1
6/30/11,Israel,IL,Blogger,Defamation,1,0,1
6/30/11,Italy,IT,YouTube,Government Criticism,0,2,2
6/30/11,Italy,IT,Web Search,Privacy and Security,2,0,2
6/30/11,Italy,IT,YouTube,Defamation,6,4,16
6/30/11,Italy,IT,YouTube,Privacy and Security,1,2,6
6/30/11,Italy,IT,Web Search: Autocomplete,Defamation,1,0,1
6/30/11,Italy,IT,YouTube,Violence,2,2,18
6/30/11,Italy,IT,Blogger,Privacy and Security,2,0,9
6/30/11,Italy,IT,YouTube,Other,0,1,1
6/30/11,Italy,IT,Web Search,Hate Speech,1,0,1
6/30/11,Italy,IT,Blogger,Copyright,3,0,6
6/30/11,Italy,IT,Web Search,Defamation,1,0,1
6/30/11,Italy,IT,Blogger,Defamation,6,1,18
6/30/11,Argentina,AR,Web Search,Other,1,0,1
6/30/11,Argentina,AR,Web Search,Privacy and Security,8,0,14
6/30/11,Argentina,AR,Google AdWords,Defamation,0,1,4
6/30/11,Argentina,AR,Web Search,Defamation,6,0,34
6/30/11,Argentina,AR,Blogger,Defamation,4,0,5
6/30/11,Argentina,AR,Blogger,Privacy and Security,1,0,1
6/30/11,Taiwan,TW,YouTube,Other,0,5,5
6/30/11,Taiwan,TW,Google AdWords,Electoral Law,1,0,1
6/30/11,Taiwan,TW,Gmail,Defamation,0,3,3
6/30/11,Taiwan,TW,Google AdWords,Other,0,8,54
6/30/11,Taiwan,TW,Gmail,Other,4,39,43
6/30/11,Taiwan,TW,Gmail,Copyright,0,2,2
6/30/11,Taiwan,TW,YouTube,Defamation,0,1,1
6/30/11,Taiwan,TW,Blogger,Other,0,5,5
6/30/11,Taiwan,TW,Google Sites,Other,0,1,1
6/30/11,Netherlands,NL,YouTube,Privacy and Security,0,1,1
6/30/11,Netherlands,NL,Blogger,Defamation,1,0,2
6/30/11,Netherlands,NL,YouTube,Adult Content,0,1,1
6/30/11,Netherlands,NL,Blogger,Privacy and Security,1,0,12
6/30/11,Belgium,BE,YouTube,Privacy and Security,0,3,5
6/30/11,Belgium,BE,Blogger,Defamation,2,0,2
6/30/11,United Kingdom,GB,Web Search,Privacy and Security,2,0,28
6/30/11,United Kingdom,GB,YouTube,National Security,0,6,135
6/30/11,United Kingdom,GB,YouTube,Privacy and Security,1,32,61
6/30/11,United Kingdom,GB,Google Images,Privacy and Security,2,0,67
6/30/11,United Kingdom,GB,YouTube,Violence,0,2,3
6/30/11,United Kingdom,GB,Blogger,Privacy and Security,1,0,1
6/30/11,United Kingdom,GB,Web Search,Other,1,0,1
6/30/11,United Kingdom,GB,YouTube,Other,0,11,20
6/30/11,United Kingdom,GB,YouTube,Hate Speech,0,1,1
6/30/11,United Kingdom,GB,"Google Earth, Google Maps, and Panoramio",Defamation,0,1,1
6/30/11,United Kingdom,GB,Web Search,Defamation,4,0,14
6/30/11,United Kingdom,GB,Blogger,Defamation,1,0,1
6/30/11,United States,US,YouTube,Government Criticism,0,1,1
6/30/11,United States,US,Web Search,Privacy and Security,5,1,6
6/30/11,United States,US,Web Search,Copyright,1,0,2
6/30/11,United States,US,Blogger,Other,5,0,13
6/30/11,United States,US,YouTube,Hate Speech,0,1,1
6/30/11,United States,US,Web Search,Impersonation,1,0,1
6/30/11,United States,US,"Google Earth, Google Maps, and Panoramio",Defamation,1,0,1
6/30/11,United States,US,Picasa Web Albums,Hate Speech,0,2,5
6/30/11,United States,US,"Google Earth, Google Maps, and Panoramio",Other,0,1,1
6/30/11,United States,US,Google Images,Copyright,1,0,2
6/30/11,United States,US,YouTube,National Security,0,1,1
6/30/11,United States,US,"Google Earth, Google Maps, and Panoramio",Privacy and Security,0,1,1
6/30/11,United States,US,Gmail,Impersonation,1,1,2
6/30/11,United States,US,YouTube,Defamation,1,2,16
6/30/11,United States,US,Google Groups,Defamation,5,0,379
6/30/11,United States,US,YouTube,Privacy and Security,1,10,62
6/30/11,United States,US,Blogger,Privacy and Security,7,1,11
6/30/11,United States,US,YouTube,Violence,0,2,3
6/30/11,United States,US,Web Search,Other,0,1,1
6/30/11,United States,US,YouTube,Other,4,9,29
6/30/11,United States,US,Google Books,Defamation,1,0,1
6/30/11,United States,US,Google AdWords,Other,0,1,7
6/30/11,United States,US,Web Search,Defamation,17,1,188
6/30/11,United States,US,Blogger,Defamation,4,0,22
6/30/11,United States,US,Blogger,Impersonation,0,1,1
6/30/11,Sweden,SE,YouTube,Privacy and Security,0,1,2
6/30/11,Switzerland,CH,Google Sites,Defamation,1,0,1
6/30/11,Switzerland,CH,YouTube,Defamation,1,0,2
6/30/11,Switzerland,CH,Web Search,Defamation,1,0,2
6/30/11,Libya,LY,YouTube,Privacy and Security,0,2,5
6/30/11,France,FR,"Google Earth, Google Maps, and Panoramio",Defamation,1,0,2
6/30/11,France,FR,Google Groups,Defamation,1,0,180
6/30/11,France,FR,YouTube,Privacy and Security,0,1,2
6/30/11,France,FR,Web Search,Defamation,4,0,54
6/30/11,France,FR,Blogger,Defamation,2,0,12
6/30/11,Portugal,PT,YouTube,Defamation,0,1,1
6/30/11,Portugal,PT,Blogger,Other,1,0,2
6/30/11,Portugal,PT,YouTube,Privacy and Security,0,1,2
6/30/11,Portugal,PT,Blogger,Defamation,3,0,4
6/30/11,India,IN,YouTube,Government Criticism,0,5,19
6/30/11,India,IN,Web Search,Privacy and Security,0,2,2
6/30/11,India,IN,YouTube,Defamation,0,2,6
6/30/11,India,IN,Blogger,Other,1,3,10
6/30/11,India,IN,YouTube,Privacy and Security,0,4,8
6/30/11,India,IN,Picasa Web Albums,Other,0,1,1
6/30/11,India,IN,YouTube,Adult Content,0,3,3
6/30/11,India,IN,"Google Earth, Google Maps, and Panoramio",National Security,0,1,1
6/30/11,India,IN,Blogger,Privacy and Security,0,4,4
6/30/11,India,IN,orkut,Government Criticism,0,1,236
6/30/11,India,IN,orkut,Impersonation,0,12,15
6/30/11,India,IN,YouTube,Other,0,4,6
6/30/11,India,IN,orkut,Privacy and Security,0,6,6
6/30/11,India,IN,orkut,Other,0,1,1
6/30/11,India,IN,YouTube,Hate Speech,0,1,6
6/30/11,India,IN,orkut,Hate Speech,0,2,2
6/30/11,India,IN,Web Search,Defamation,0,3,3
6/30/11,India,IN,Blogger,Defamation,2,6,24
6/30/11,India,IN,Blogger,Impersonation,0,1,1
6/30/11,India,IN,orkut,Defamation,0,3,6
6/30/11,New Zealand,NZ,YouTube,Other,0,2,3
6/30/11,New Zealand,NZ,Blogger,Other,0,1,1
6/30/11,New Zealand,NZ,YouTube,Privacy and Security,0,1,2
6/30/11,New Zealand,NZ,Web Search,Defamation,1,0,1
6/30/11,Cook Islands,CK,Google AdWords,Defamation,1,0,1
6/30/11,Cook Islands,CK,Web Search,Defamation,1,0,1
6/30/11,Thailand,TH,YouTube,Government Criticism,0,2,225
6/30/11,Germany,DE,Web Search,Privacy and Security,3,0,5
6/30/11,Germany,DE,Web Search,Adult Content,0,5,70
6/30/11,Germany,DE,YouTube,Defamation,7,5,23
6/30/11,Germany,DE,YouTube,Privacy and Security,5,8,180
6/30/11,Germany,DE,YouTube,Adult Content,0,3,5
6/30/11,Germany,DE,Google Images,Defamation,1,0,6
6/30/11,Germany,DE,YouTube,Violence,0,5,7
