CaseID,weight,tm_start,tm_finish,duration,age_category,education_level,gender,income_level,marital_status,region,is_parent,state,i_develop_strong_emotions_toward_people_i_can_rely_on_num,i_develop_strong_emotions_toward_people_i_can_rely_on,parents_should_empower_children_as_much_as_possible_so_that_they_may_follow_their_dreams_num,parents_should_empower_children_as_much_as_possible_so_that_they_may_follow_their_dreams,moral_standards_should_be_seen_as_individualistic_what_one_person_considers_to_be_moral_may_be_judged_as_immoral_by_another_person_num,moral_standards_should_be_seen_as_individualistic_what_one_person_considers_to_be_moral_may_be_judged_as_immoral_by_another_person
34,1.1,3/10/2012,3/10/2012,44.0,35-44,Some college,Male,"$50,000 to $59,999",Never married,South Atlantic,No,SC,4.0,Neither agree nor disagree,7.0,Strongly agree,4.0,Neither agree nor disagree
35,0.4,3/10/2012,3/10/2012,33.0,55-64,Some college,Female,"$50,000 to $59,999",Married,East-North Central,No,OH,6.0,Agree,6.0,Agree,2.0,Agree
36,0.43,3/10/2012,3/10/2012,38.0,55-64,Some college,Female,"$35,000 to $39,999",Married,Mountain,No,NV,4.0,Neither agree nor disagree,5.0,Somewhat agree,5.0,Somewhat disagree
37,0.14,3/10/2012,3/10/2012,50.0,55-64,High school,Female,"$40,000 to $49,999",Married,Pacific,No,CA,4.0,Neither agree nor disagree,6.0,Agree,7.0,Strongly disagree
38,0.14,3/10/2012,3/10/2012,48.0,18-24,Bachelor's degree or higher,Female,"$25,000 to $29,999",Married,New England,No,ME,5.0,Somewhat agree,5.0,Somewhat agree,2.0,Agree
39,0.72,3/10/2012,3/10/2012,239.0,55-64,Bachelor's degree or higher,Male,"$25,000 to $29,999",Divorced,South Atlantic,No,FL,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
40,1.57,3/10/2012,3/10/2012,43.0,45-54,Some college,Female,"$20,000 to $24,999",Divorced,East-North Central,No,MI,5.0,Somewhat agree,4.0,Neither agree nor disagree,2.0,Agree
41,0.63,3/10/2012,3/10/2012,35.0,35-44,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,Mid-Atlantic,No,NY,5.0,Somewhat agree,5.0,Somewhat agree,5.0,Somewhat disagree
42,0.38,3/10/2012,3/10/2012,42.0,65-74,High school,Female,"$50,000 to $59,999",Married,Mountain,No,AZ,6.0,Agree,5.0,Somewhat agree,3.0,Somewhat agree
43,0.51,3/10/2012,3/10/2012,11.0,45-54,High school,Male,"$75,000 to $84,999",Married,Mid-Atlantic,Yes,NJ,6.0,Agree,6.0,Agree,4.0,Neither agree nor disagree
44,0.54,3/10/2012,3/10/2012,53.0,65-74,Bachelor's degree or higher,Female,"$75,000 to $84,999",Divorced,South Atlantic,No,MD,4.0,Neither agree nor disagree,7.0,Strongly agree,2.0,Agree
45,0.9,3/10/2012,3/10/2012,21.0,35-44,Bachelor's degree or higher,Female,"$100,000 to $124,999",Married,South Atlantic,Yes,NC,7.0,Strongly agree,6.0,Agree,7.0,Strongly disagree
46,0.62,3/10/2012,3/10/2012,36.0,35-44,High school,Female,"$50,000 to $59,999",Married,South Atlantic,Yes,VA,6.0,Agree,7.0,Strongly agree,5.0,Somewhat disagree
47,0.38,3/10/2012,3/11/2012,627.0,45-54,High school,Female,"$100,000 to $124,999",Married,East-North Central,Yes,IN,7.0,Strongly agree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
48,0.78,3/10/2012,3/10/2012,15.0,55-64,High school,Male,"$10,000 to $12,499",Married,South Atlantic,No,FL,3.0,Somewhat disagree,6.0,Agree,4.0,Neither agree nor disagree
49,0.76,3/10/2012,3/10/2012,35.0,45-54,Some college,Male,"$15,000 to $19,999",Married,East-North Central,Yes,MI,7.0,Strongly agree,7.0,Strongly agree,3.0,Somewhat agree
50,1.32,3/10/2012,3/10/2012,31.0,45-54,Some college,Male,"$125,000 to $149,999",Married,Mid-Atlantic,No,PA,2.0,Disagree,3.0,Somewhat disagree,4.0,Neither agree nor disagree
51,0.51,3/10/2012,3/10/2012,61.0,25-34,Bachelor's degree or higher,Male,"$125,000 to $149,999",Married,Mountain,No,CO,5.0,Somewhat agree,5.0,Somewhat agree,7.0,Strongly disagree
52,0.95,3/10/2012,3/10/2012,32.0,45-54,Some college,Female,"$60,000 to $74,999",Never married,East-North Central,No,WI,5.0,Somewhat agree,5.0,Somewhat agree,2.0,Agree
53,0.42,3/10/2012,3/10/2012,37.0,65-74,Bachelor's degree or higher,Male,"$50,000 to $59,999",Married,South Atlantic,No,NC,6.0,Agree,4.0,Neither agree nor disagree,5.0,Somewhat disagree
54,0.45,3/10/2012,3/13/2012,4731.0,55-64,Bachelor's degree or higher,Female,"$125,000 to $149,999",Widowed,Mid-Atlantic,No,NJ,6.0,Agree,7.0,Strongly agree,1.0,Strongly agree
55,0.55,3/10/2012,3/10/2012,37.0,35-44,Some college,Female,"$50,000 to $59,999",Married,Mountain,Yes,AZ,-1.0,Refused,-1.0,Refused,-1.0,Refused
56,0.36,3/10/2012,3/10/2012,393.0,45-54,Bachelor's degree or higher,Male,"$150,000 to $174,999",Married,Pacific,No,CA,2.0,Disagree,2.0,Disagree,6.0,Disagree
57,0.48,3/10/2012,3/10/2012,67.0,55-64,Less than high school,Female,"$60,000 to $74,999",Married,Pacific,No,CA,6.0,Agree,6.0,Agree,6.0,Disagree
58,1.03,3/10/2012,3/10/2012,46.0,65-74,Less than high school,Male,"$25,000 to $29,999",Married,East-South Central,No,KY,5.0,Somewhat agree,5.0,Somewhat agree,6.0,Disagree
59,0.96,3/10/2012,3/10/2012,69.0,55-64,High school,Male,"$40,000 to $49,999",Married,East-South Central,No,AL,5.0,Somewhat agree,4.0,Neither agree nor disagree,3.0,Somewhat agree
60,3.11,3/10/2012,3/10/2012,10.0,35-44,Bachelor's degree or higher,Female,"$40,000 to $49,999",Married,New England,Yes,MA,7.0,Strongly agree,6.0,Agree,5.0,Somewhat disagree
61,0.32,3/10/2012,3/11/2012,425.0,65-74,High school,Female,"$25,000 to $29,999",Divorced,Pacific,No,CA,7.0,Strongly agree,6.0,Agree,7.0,Strongly disagree
62,0.24,3/10/2012,3/11/2012,378.0,55-64,Bachelor's degree or higher,Female,"$85,000 to $99,999",Separated,West-South Central,No,TX,6.0,Agree,4.0,Neither agree nor disagree,7.0,Strongly disagree
65,0.96,3/10/2012,3/10/2012,15.0,25-34,High school,Male,"$30,000 to $34,999",Living with partner,West-South Central,Yes,TX,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
66,1.74,3/10/2012,3/19/2012,12584.0,65-74,Some college,Female,"$100,000 to $124,999",Married,South Atlantic,No,FL,5.0,Somewhat agree,5.0,Somewhat agree,6.0,Disagree
67,0.8,3/10/2012,3/10/2012,33.0,65-74,High school,Female,"$40,000 to $49,999",Married,West-North Central,No,MN,6.0,Agree,5.0,Somewhat agree,4.0,Neither agree nor disagree
68,0.54,3/10/2012,3/10/2012,35.0,18-24,High school,Male,"$100,000 to $124,999",Never married,East-North Central,No,OH,5.0,Somewhat agree,4.0,Neither agree nor disagree,3.0,Somewhat agree
69,0.5,3/11/2012,3/11/2012,52.0,55-64,Some college,Male,"$50,000 to $59,999",Married,East-North Central,No,IL,6.0,Agree,6.0,Agree,1.0,Strongly agree
70,0.71,3/11/2012,3/11/2012,37.0,65-74,Bachelor's degree or higher,Female,"$100,000 to $124,999",Married,West-North Central,No,MN,6.0,Agree,7.0,Strongly agree,6.0,Disagree
71,0.54,3/11/2012,3/11/2012,41.0,35-44,Some college,Male,"$150,000 to $174,999",Living with partner,New England,No,CT,6.0,Agree,7.0,Strongly agree,3.0,Somewhat agree
72,0.36,3/11/2012,3/11/2012,42.0,65-74,Some college,Female,"$100,000 to $124,999",Divorced,Pacific,No,CA,4.0,Neither agree nor disagree,7.0,Strongly agree,3.0,Somewhat agree
73,1.08,3/11/2012,3/11/2012,52.0,45-54,Some college,Female,"$50,000 to $59,999",Married,West-North Central,Yes,MO,7.0,Strongly agree,6.0,Agree,7.0,Strongly disagree
74,0.99,3/11/2012,3/11/2012,27.0,45-54,Bachelor's degree or higher,Male,"$85,000 to $99,999",Married,Mid-Atlantic,Yes,NJ,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
75,0.46,3/11/2012,3/12/2012,1340.0,55-64,Bachelor's degree or higher,Male,"$10,000 to $12,499",Never married,South Atlantic,No,NC,7.0,Strongly agree,4.0,Neither agree nor disagree,2.0,Agree
76,0.58,3/11/2012,3/11/2012,9.0,18-24,Less than high school,Male,"$30,000 to $34,999",Never married,East-North Central,No,IL,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
78,0.44,3/11/2012,3/11/2012,48.0,55-64,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,East-North Central,No,IL,5.0,Somewhat agree,6.0,Agree,6.0,Disagree
79,0.26,3/11/2012,3/11/2012,40.0,45-54,High school,Female,"$60,000 to $74,999",Married,East-North Central,No,OH,7.0,Strongly agree,3.0,Somewhat disagree,3.0,Somewhat agree
80,3.56,3/11/2012,3/11/2012,51.0,18-24,High school,Female,"$100,000 to $124,999",Never married,Pacific,No,CA,7.0,Strongly agree,7.0,Strongly agree,5.0,Somewhat disagree
81,0.21,3/11/2012,3/11/2012,196.0,18-24,High school,Female,"$100,000 to $124,999",Never married,East-North Central,No,WI,7.0,Strongly agree,5.0,Somewhat agree,4.0,Neither agree nor disagree
82,0.91,3/11/2012,3/11/2012,20.0,55-64,Bachelor's degree or higher,Female,"$125,000 to $149,999",Married,West-North Central,No,IA,4.0,Neither agree nor disagree,7.0,Strongly agree,6.0,Disagree
83,0.78,3/11/2012,3/11/2012,68.0,18-24,Some college,Female,"$50,000 to $59,999",Never married,West-North Central,No,IA,6.0,Agree,6.0,Agree,4.0,Neither agree nor disagree
84,0.78,3/11/2012,3/12/2012,37.0,65-74,High school,Female,"$100,000 to $124,999",Married,West-South Central,No,OK,5.0,Somewhat agree,3.0,Somewhat disagree,7.0,Strongly disagree
85,1.67,3/12/2012,3/12/2012,41.0,35-44,High school,Female,"$50,000 to $59,999",Living with partner,South Atlantic,No,FL,5.0,Somewhat agree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
87,0.38,3/12/2012,3/12/2012,28.0,45-54,Bachelor's degree or higher,Male,"$30,000 to $34,999",Married,South Atlantic,No,FL,5.0,Somewhat agree,6.0,Agree,2.0,Agree
88,0.61,3/12/2012,3/12/2012,59.0,55-64,High school,Male,"$10,000 to $12,499",Widowed,East-South Central,No,AL,5.0,Somewhat agree,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree
89,0.55,3/12/2012,3/12/2012,17.0,18-24,Some college,Male,"$50,000 to $59,999",Never married,Mid-Atlantic,No,PA,6.0,Agree,5.0,Somewhat agree,4.0,Neither agree nor disagree
90,0.6,3/12/2012,3/12/2012,46.0,45-54,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,West-South Central,Yes,TX,5.0,Somewhat agree,6.0,Agree,3.0,Somewhat agree
91,0.83,3/12/2012,3/12/2012,97.0,45-54,Bachelor's degree or higher,Male,"$85,000 to $99,999",Married,Mid-Atlantic,No,NY,5.0,Somewhat agree,6.0,Agree,7.0,Strongly disagree
92,0.85,3/12/2012,3/12/2012,42.0,75+,High school,Female,"$50,000 to $59,999",Widowed,South Atlantic,No,DC,7.0,Strongly agree,6.0,Agree,5.0,Somewhat disagree
93,2.25,3/12/2012,3/12/2012,26.0,45-54,Some college,Female,"$60,000 to $74,999",Divorced,Mid-Atlantic,No,NY,7.0,Strongly agree,7.0,Strongly agree,4.0,Neither agree nor disagree
94,1.58,3/12/2012,3/12/2012,58.0,18-24,High school,Female,"$75,000 to $84,999",Never married,Pacific,No,CA,7.0,Strongly agree,6.0,Agree,4.0,Neither agree nor disagree
95,0.39,3/12/2012,3/12/2012,33.0,35-44,Bachelor's degree or higher,Male,"$100,000 to $124,999",Married,East-North Central,Yes,WI,7.0,Strongly agree,3.0,Somewhat disagree,7.0,Strongly disagree
97,0.58,3/12/2012,3/13/2012,123.0,55-64,Bachelor's degree or higher,Male,"$60,000 to $74,999",Married,South Atlantic,No,SC,6.0,Agree,6.0,Agree,7.0,Strongly disagree
98,0.3,3/12/2012,3/12/2012,21.0,45-54,High school,Female,"$50,000 to $59,999",Married,East-South Central,No,AL,6.0,Agree,7.0,Strongly agree,2.0,Agree
99,0.31,3/12/2012,3/13/2012,48.0,18-24,Some college,Female,"<$5,000",Never married,Pacific,No,OR,7.0,Strongly agree,7.0,Strongly agree,2.0,Agree
102,0.39,3/12/2012,3/13/2012,61.0,65-74,High school,Male,"$30,000 to $34,999",Married,Mid-Atlantic,No,NY,-1.0,Refused,5.0,Somewhat agree,2.0,Agree
103,0.94,3/12/2012,3/13/2012,27.0,65-74,High school,Female,"$50,000 to $59,999",Married,South Atlantic,No,DE,6.0,Agree,5.0,Somewhat agree,5.0,Somewhat disagree
104,0.27,3/12/2012,3/13/2012,170.0,65-74,Bachelor's degree or higher,Male,"$125,000 to $149,999",Married,Pacific,No,CA,6.0,Agree,6.0,Agree,4.0,Neither agree nor disagree
106,0.36,3/12/2012,3/13/2012,36.0,55-64,Bachelor's degree or higher,Female,"$60,000 to $74,999",Married,Mountain,No,NV,7.0,Strongly agree,7.0,Strongly agree,2.0,Agree
107,0.53,3/12/2012,3/13/2012,33.0,35-44,Some college,Male,"$100,000 to $124,999",Married,Mid-Atlantic,No,PA,4.0,Neither agree nor disagree,6.0,Agree,3.0,Somewhat agree
108,0.35,3/12/2012,3/13/2012,29.0,45-54,Bachelor's degree or higher,Male,"$85,000 to $99,999",Married,Pacific,No,CA,6.0,Agree,7.0,Strongly agree,6.0,Disagree
109,0.22,3/12/2012,3/13/2012,62.0,45-54,Some college,Male,"$15,000 to $19,999",Never married,Pacific,No,CA,6.0,Agree,7.0,Strongly agree,1.0,Strongly agree
110,1.14,3/12/2012,3/13/2012,103.0,45-54,Bachelor's degree or higher,Male,"$150,000 to $174,999",Married,Mid-Atlantic,Yes,NJ,6.0,Agree,3.0,Somewhat disagree,3.0,Somewhat agree
111,0.35,3/12/2012,3/13/2012,35.0,65-74,High school,Male,"$60,000 to $74,999",Married,West-North Central,No,NE,5.0,Somewhat agree,5.0,Somewhat agree,5.0,Somewhat disagree
112,0.88,3/12/2012,3/13/2012,62.0,45-54,High school,Female,"$75,000 to $84,999",Living with partner,West-South Central,No,TX,5.0,Somewhat agree,7.0,Strongly agree,4.0,Neither agree nor disagree
113,1.73,3/12/2012,3/13/2012,64.0,25-34,High school,Female,"$15,000 to $19,999",Never married,Mountain,No,AZ,7.0,Strongly agree,7.0,Strongly agree,7.0,Strongly disagree
114,0.37,3/12/2012,3/13/2012,32.0,55-64,Bachelor's degree or higher,Female,"$40,000 to $49,999",Never married,Mid-Atlantic,No,NY,7.0,Strongly agree,5.0,Somewhat agree,3.0,Somewhat agree
115,1.2,3/12/2012,3/13/2012,46.0,55-64,Some college,Female,"$10,000 to $12,499",Divorced,East-North Central,No,IL,6.0,Agree,7.0,Strongly agree,7.0,Strongly disagree
116,0.59,3/12/2012,3/13/2012,47.0,75+,Some college,Female,"$20,000 to $24,999",Married,East-South Central,No,MS,6.0,Agree,7.0,Strongly agree,2.0,Agree
117,0.68,3/12/2012,3/13/2012,65.0,75+,Bachelor's degree or higher,Male,"$150,000 to $174,999",Married,Pacific,No,CA,6.0,Agree,5.0,Somewhat agree,5.0,Somewhat disagree
119,0.47,3/12/2012,3/13/2012,33.0,25-34,Bachelor's degree or higher,Female,">=$175,000",Married,West-North Central,Yes,MO,6.0,Agree,4.0,Neither agree nor disagree,6.0,Disagree
120,2.31,3/12/2012,3/13/2012,39.0,25-34,Bachelor's degree or higher,Male,"$100,000 to $124,999",Never married,Pacific,No,CA,6.0,Agree,6.0,Agree,3.0,Somewhat agree
121,0.66,3/12/2012,3/13/2012,42.0,35-44,Bachelor's degree or higher,Female,"$100,000 to $124,999",Married,New England,Yes,CT,5.0,Somewhat agree,5.0,Somewhat agree,6.0,Disagree
122,2.91,3/12/2012,3/13/2012,940.0,25-34,Bachelor's degree or higher,Male,"$125,000 to $149,999",Living with partner,Pacific,No,CA,6.0,Agree,6.0,Agree,5.0,Somewhat disagree
123,0.36,3/12/2012,3/13/2012,47.0,55-64,High school,Male,"$35,000 to $39,999",Married,East-North Central,No,IN,7.0,Strongly agree,7.0,Strongly agree,7.0,Strongly disagree
124,0.48,3/12/2012,3/13/2012,26.0,45-54,Some college,Male,">=$175,000",Married,New England,Yes,MA,5.0,Somewhat agree,6.0,Agree,4.0,Neither agree nor disagree
125,0.34,3/12/2012,3/13/2012,40.0,55-64,High school,Female,"$12,500 to $14,999",Divorced,West-South Central,No,TX,3.0,Somewhat disagree,5.0,Somewhat agree,3.0,Somewhat agree
126,0.17,3/12/2012,3/13/2012,52.0,65-74,Bachelor's degree or higher,Male,"$125,000 to $149,999",Married,West-South Central,No,TX,6.0,Agree,6.0,Agree,7.0,Strongly disagree
127,3.03,3/12/2012,3/13/2012,32.0,25-34,Bachelor's degree or higher,Female,"$50,000 to $59,999",Married,Mountain,No,NV,5.0,Somewhat agree,7.0,Strongly agree,2.0,Agree
128,0.48,3/12/2012,3/13/2012,76.0,45-54,Some college,Female,"$100,000 to $124,999",Married,Mountain,No,NV,7.0,Strongly agree,7.0,Strongly agree,2.0,Agree
129,1.48,3/12/2012,3/13/2012,30.0,65-74,High school,Female,"$60,000 to $74,999",Widowed,South Atlantic,No,SC,6.0,Agree,5.0,Somewhat agree,3.0,Somewhat agree
130,0.49,3/12/2012,3/13/2012,36.0,65-74,Bachelor's degree or higher,Female,"$85,000 to $99,999",Married,New England,No,ME,4.0,Neither agree nor disagree,5.0,Somewhat agree,6.0,Disagree
131,0.28,3/12/2012,3/13/2012,25.0,55-64,Bachelor's degree or higher,Female,">=$175,000",Divorced,Pacific,No,CA,5.0,Somewhat agree,5.0,Somewhat agree,5.0,Somewhat disagree
132,1.51,3/12/2012,3/13/2012,30.0,18-24,Bachelor's degree or higher,Female,"$150,000 to $174,999",Never married,New England,No,MA,7.0,Strongly agree,6.0,Agree,4.0,Neither agree nor disagree
133,0.99,3/12/2012,3/13/2012,18.0,55-64,High school,Female,"$30,000 to $34,999",Never married,Mid-Atlantic,No,NJ,4.0,Neither agree nor disagree,6.0,Agree,3.0,Somewhat agree
134,1.49,3/12/2012,3/13/2012,29.0,35-44,Bachelor's degree or higher,Male,">=$175,000",Living with partner,New England,No,MA,5.0,Somewhat agree,6.0,Agree,5.0,Somewhat disagree
135,0.29,3/12/2012,3/13/2012,31.0,45-54,Bachelor's degree or higher,Female,"$150,000 to $174,999",Married,Mountain,Yes,CO,6.0,Agree,6.0,Agree,7.0,Strongly disagree
136,0.52,3/12/2012,3/13/2012,83.0,75+,High school,Female,"$75,000 to $84,999",Widowed,South Atlantic,No,NC,5.0,Somewhat agree,3.0,Somewhat disagree,6.0,Disagree
137,0.68,3/12/2012,3/13/2012,38.0,55-64,Some college,Female,"$100,000 to $124,999",Living with partner,Pacific,No,CA,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,5.0,Somewhat disagree
138,0.25,3/12/2012,3/13/2012,58.0,55-64,Some college,Male,"$30,000 to $34,999",Married,West-South Central,No,TX,6.0,Agree,6.0,Agree,6.0,Disagree
139,1.38,3/12/2012,3/13/2012,135.0,18-24,High school,Male,"$100,000 to $124,999",Never married,Mid-Atlantic,No,NY,3.0,Somewhat disagree,7.0,Strongly agree,1.0,Strongly agree
140,0.27,3/12/2012,3/13/2012,27.0,55-64,Bachelor's degree or higher,Female,"$40,000 to $49,999",Divorced,East-North Central,No,MI,7.0,Strongly agree,6.0,Agree,1.0,Strongly agree
142,1.3,3/13/2012,3/13/2012,80.0,65-74,High school,Male,"$40,000 to $49,999",Widowed,West-South Central,No,LA,5.0,Somewhat agree,6.0,Agree,3.0,Somewhat agree
143,0.42,3/13/2012,3/13/2012,76.0,75+,High school,Female,"$25,000 to $29,999",Married,Mid-Atlantic,No,PA,5.0,Somewhat agree,7.0,Strongly agree,6.0,Disagree
144,2.75,3/13/2012,3/13/2012,52.0,45-54,Bachelor's degree or higher,Female,"$60,000 to $74,999",Married,West-South Central,Yes,TX,4.0,Neither agree nor disagree,3.0,Somewhat disagree,6.0,Disagree
145,0.54,3/13/2012,3/13/2012,9.0,75+,Less than high school,Female,"$125,000 to $149,999",Divorced,Pacific,No,CA,6.0,Agree,6.0,Agree,3.0,Somewhat agree
146,2.9,3/13/2012,3/13/2012,21.0,35-44,High school,Male,"$25,000 to $29,999",Married,Mountain,Yes,MT,6.0,Agree,7.0,Strongly agree,2.0,Agree
147,1.65,3/13/2012,3/13/2012,57.0,55-64,High school,Female,"$5,000 to $7,499",Divorced,Mid-Atlantic,No,PA,7.0,Strongly agree,6.0,Agree,4.0,Neither agree nor disagree
148,0.65,3/13/2012,3/13/2012,39.0,65-74,Bachelor's degree or higher,Male,"$12,500 to $14,999",Divorced,Mountain,No,AZ,7.0,Strongly agree,6.0,Agree,2.0,Agree
149,0.59,3/13/2012,3/13/2012,95.0,25-34,Bachelor's degree or higher,Female,"<$5,000",Never married,East-North Central,No,OH,7.0,Strongly agree,7.0,Strongly agree,2.0,Agree
150,0.2,3/13/2012,3/13/2012,36.0,65-74,Bachelor's degree or higher,Male,"$100,000 to $124,999",Living with partner,Mid-Atlantic,No,NY,7.0,Strongly agree,7.0,Strongly agree,7.0,Strongly disagree
151,0.38,3/13/2012,3/13/2012,17.0,45-54,Some college,Male,">=$175,000",Never married,Mid-Atlantic,No,PA,7.0,Strongly agree,7.0,Strongly agree,4.0,Neither agree nor disagree
152,0.14,3/13/2012,3/13/2012,21.0,18-24,Bachelor's degree or higher,Male,"$20,000 to $24,999",Married,East-North Central,No,IL,3.0,Somewhat disagree,5.0,Somewhat agree,2.0,Agree
